Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
2012-05-05,5,May,2012,35.0,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Black, 44",2,1555,2443,1141,3110,4251,More or equal to 100
2014-05-21,21,May,2014,29.0,Young Adults (25-34),M,USA,California,Accessories,Helmets,"Sport-100 Helmet, Red",9,13,35,192,117,309,More or equal to 100
2015-11-17,17,Nov,2015,49.0,Adults (35-64),F,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Red",7,13,35,137,91,228,More or equal to 100
2016-04-27,27,April,2016,31.0,Young Adults (25-34),M,USA,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",12,13,35,172,156,328,More or equal to 100
2013-11-12,12,Nov,2013,23.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,19,2,5,55,38,93,Less than 100
2013-12-29,29,Dec,2013,22.0,Youth (<25),F,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,9,7,9,7,63,70,Less than 100
2011-05-08,8,May,2011,37.0,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,-----,3,1266,2320,2257,3798,6055,More or equal to 100
2014-04-22,22,April,2014,37.0,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5,52,44,96,Less than 100
2015-10-21,21,October,2015,22.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,-----,11,8,21,138,88,226,More or equal to 100
2016-04-14,14,April,2016,1.0,Youth (<25),F,Germany,Hamburg,Accessories,Tires and Tubes,HL Mountain Tire,15,13,35,293,195,488,More or equal to 100
2013-09-23,23,September,2013,38.0,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,HL Mountain Tire,2,13,35,29,26,55,Less than 100
2011-07-29,29,July,2011,1.0,Youth (<25),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,More or equal to 100
2016-04-07,7,April,2016,25.0,Young Adults (25-34),M,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,14,10,24,Less than 100
2014-04-05,5,April,2014,1.0,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,27,1,4,80,27,107,Less than 100
2016-06-14,14,June,2016,28.0,Young Adults (25-34),M,France,Moselle,Accessories,Tires and Tubes,Touring Tire,16,11,29,232,176,408,More or equal to 100
2015-08-29,29,August,2015,40.0,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,10,10,20,Less than 100
2015-12-05,5,Dec,2015,24.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,ML Road Tire,16,9,25,248,144,392,More or equal to 100
2013-12-29,29,Dec,2013,1.0,Youth (<25),M,France,Nord,Accessories,Helmets,"Sport-100 Helmet, Black",19,13,35,332,247,579,More or equal to 100
2013-09-13,13,September,2013,,,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,42,36,78,Less than 100
2014-03-04,4,Mar,2014,22.0,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,308,565,234,308,542,More or equal to 100
2014-03-27,27,Mar,2014,19.0,Youth (<25),M,Germany,Hessen,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,14,16,30,Less than 100
2013-06-15,15,June,2013,35.0,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,312,1083,1395,More or equal to 100
2013-11-20,20,Nov,2013,1.0,Youth (<25),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,89,60,149,Less than 100
2013-09-01,1,September,2013,23.0,Youth (<25),M,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,21,3,8,103,63,166,More or equal to 100
2015-09-02,2,September,2015,43.0,Adults (35-64),M,United States,Oregon,Clothing,Vests,"Classic Vest, S",7,24,64,217,168,385,More or equal to 100
2013-10-18,18,October,2013,38.0,Adults (35-64),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,71,48,119,Less than 100
2011-07-05,5,July,2011,48.0,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,-----,1,344,540,191,344,535,More or equal to 100
2014-05-26,26,May,2014,29.0,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,HL Mountain Tire,28,13,35,577,364,941,More or equal to 100
2013-08-08,8,August,2013,40.0,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,75,52,127,Less than 100
2013-10-08,8,October,2013,56.0,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-500 Silver, 44",1,308,565,155,308,463,More or equal to 100
2014-06-08,8,June,2014,1.0,Youth (<25),M,United States,California,Accessories,Fenders,Fender Set - Mountain,26,8,22,353,208,561,More or equal to 100
2013-08-19,19,August,2013,1.0,Youth (<25),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",10,13,35,217,130,347,More or equal to 100
2016-06-11,11,June,2016,38.0,Adults (35-64),F,France,Val d'Oise,Bikes,Touring Bikes,"Touring-3000 Yellow, 44",2,461,742,250,922,1172,More or equal to 100
2016-03-05,5,Mar,2016,35.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,19,2,5,56,38,94,Less than 100
2012-07-01,1,July,2012,1.0,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,1505,2532,4037,More or equal to 100
2014-03-02,2,Mar,2014,55.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 44",1,308,565,246,308,554,More or equal to 100
2016-05-20,20,May,2016,,,M,USA,Oregon,Accessories,Fenders,Fender Set - Mountain,7,8,22,76,56,132,Less than 100
2015-08-31,31,August,2015,54.0,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-650 Black, 52",2,487,783,388,974,1362,More or equal to 100
2015-07-16,16,July,2015,37.0,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4,Less than 100
2016-04-11,11,April,2016,26.0,Young Adults (25-34),M,France,Seine (Paris),Accessories,Tires and Tubes,Mountain Tire Tube,15,2,5,32,30,62,Less than 100
2012-01-15,15,January,2012,19.0,Youth (<25),F,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,2528,4342,6870,More or equal to 100
2012-01-08,8,January,2012,35.0,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,1240,4342,5582,More or equal to 100
2015-12-20,20,Dec,2015,26.0,Young Adults (25-34),M,France,Nord,Clothing,Vests,-----,30,24,64,950,720,1670,More or equal to 100
2013-12-12,12,Dec,2013,39.0,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,30,8,22,413,240,653,More or equal to 100
2016-05-16,16,May,2016,53.0,Adults (35-64),F,Australia,South Australia,Accessories,Tires and Tubes,LL Mountain Tire,16,9,25,184,144,328,More or equal to 100
2015-12-19,19,Dec,2015,20.0,Youth (<25),M,Australia,Victoria,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,115,84,199,More or equal to 100
2013-08-28,28,August,2013,36.0,Adults (35-64),F,USA,California,Bikes,Touring Bikes,"Touring-2000 Blue, 60",1,755,1215,436,755,1191,More or equal to 100
2016-01-15,15,January,2016,54.0,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,656,2171,2827,More or equal to 100
2016-06-20,20,June,2016,41.0,Adults (35-64),F,United Kingdom,England,Accessories,Cleaners,Bike Wash - Dissolver,31,3,8,145,93,238,More or equal to 100
2013-09-30,30,September,2013,37.0,Adults (35-64),F,Australia,Queensland,Accessories,Tires and Tubes,HL Road Tire,24,12,33,377,288,665,More or equal to 100
2015-11-20,20,Nov,2015,51.0,Adults (35-64),F,France,Garonne (Haute),Bikes,Mountain Bikes,-----,1,1252,2295,905,1252,2157,More or equal to 100
2016-01-21,21,January,2016,55.0,Adults (35-64),F,Germany,Hamburg,Accessories,Tires and Tubes,Mountain Tire Tube,1,2,5,3,2,5,Less than 100
2016-01-12,12,January,2016,46.0,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 40",1,295,540,240,295,535,More or equal to 100
2016-05-30,30,May,2016,33.0,Young Adults (25-34),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",17,38,50,187,646,833,More or equal to 100
2014-07-30,30,July,2014,37.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,5,13,35,108,65,173,More or equal to 100
2016-04-27,27,April,2016,20.0,Youth (<25),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,366,273,639,More or equal to 100
2015-09-19,19,September,2015,24.0,Youth (<25),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54,46,168,214,Less than 100
2014-02-03,3,Feb,2014,24.0,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,64,44,108,Less than 100
2016-02-20,20,Feb,2016,60.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,11,1,4,32,11,43,Less than 100
2014-06-12,12,June,2014,24.0,Youth (<25),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,745,1252,1997,More or equal to 100
2016-02-18,18,Feb,2016,35.0,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,12,1,2,9,12,21,Less than 100
2016-05-24,24,May,2016,33.0,Young Adults (25-34),F,Germany,Hessen,Accessories,Cleaners,Bike Wash - Dissolver,25,3,8,111,75,186,More or equal to 100
2013-10-06,6,October,2013,40.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,22,1,4,64,22,86,Less than 100
2014-03-29,29,Mar,2014,31.0,Young Adults (25-34),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",6,13,35,105,78,183,More or equal to 100
2015-08-09,9,August,2015,32.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Mountain Tire,14,11,30,211,154,365,More or equal to 100
2016-01-15,15,January,2016,28.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,-----,22,11,30,411,242,653,More or equal to 100
2015-11-20,20,Nov,2015,53.0,Adults (35-64),F,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Red",27,13,35,471,351,822,More or equal to 100
2014-05-27,27,May,2014,34.0,Young Adults (25-34),M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2,11,15,26,Less than 100
2015-08-21,21,August,2015,50.0,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,24,8,21,201,192,393,More or equal to 100
2014-05-11,11,May,2014,30.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,23,2,5,68,46,114,Less than 100
2016-06-07,7,June,2016,23.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,-----,28,2,5,81,56,137,Less than 100
2014-07-13,13,July,2014,1.0,Youth (<25),M,USA,California,Accessories,Bottles and Cages,-----,16,2,5,46,32,78,Less than 100
2015-10-09,9,October,2015,33.0,Young Adults (25-34),F,Australia,Queensland,Bikes,Touring Bikes,"Touring-2000 Blue, 50",3,755,1215,797,2265,3062,More or equal to 100
2013-10-26,26,October,2013,22.0,Youth (<25),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,745,1252,1997,More or equal to 100
2016-03-14,14,Mar,2016,41.0,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,2040,2504,4544,More or equal to 100
2014-05-10,10,May,2014,40.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,8,11,30,150,88,238,More or equal to 100
2016-05-13,13,May,2016,39.0,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506,More or equal to 100
2016-01-15,15,January,2016,43.0,Adults (35-64),M,USA,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",7,38,50,77,266,343,Less than 100
2016-07-22,22,July,2016,37.0,Adults (35-64),M,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,14,3,8,69,42,111,Less than 100
2013-09-11,11,September,2013,43.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,28,13,35,596,364,960,More or equal to 100
2014-02-19,19,Feb,2014,45.0,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,1020,1252,2272,More or equal to 100
2013-12-12,12,Dec,2013,39.0,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,620,2171,2791,More or equal to 100
2012-08-28,28,August,2012,64.0,Adults (35-64),F,USA,California,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,769,1426,2195,More or equal to 100
2016-07-05,5,July,2016,23.0,Youth (<25),M,United States,Oregon,Accessories,Tires and Tubes,ML Road Tire,8,9,25,100,72,172,More or equal to 100
2013-11-28,28,Nov,2013,47.0,Adults (35-64),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",23,13,35,401,299,700,More or equal to 100
2015-09-08,8,September,2015,1.0,Youth (<25),M,United Kingdom,England,Accessories,Helmets,-----,31,13,35,639,403,1042,More or equal to 100
2016-02-23,23,Feb,2016,41.0,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,126,344,470,More or equal to 100
2016-03-21,21,Mar,2016,37.0,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,24,1,2,13,24,37,Less than 100
2014-04-04,4,April,2014,35.0,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,211,420,631,More or equal to 100
2014-06-09,9,June,2014,47.0,Adults (35-64),F,Australia,New South Wales,Clothing,Vests,"Classic Vest, L",3,24,64,95,72,167,Less than 100
2013-11-27,27,Nov,2013,27.0,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,29,3,9,132,87,219,More or equal to 100
2013-08-07,7,August,2013,51.0,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,24,1,4,68,24,92,Less than 100
2016-07-26,26,July,2016,24.0,Youth (<25),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",5,13,35,86,65,151,Less than 100
2014-04-09,9,April,2014,82.0,Seniors (64+),F,France,Seine (Paris),Clothing,Caps,-----,19,7,9,7,133,140,Less than 100
2013-12-11,11,Dec,2013,41.0,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,22,1,4,62,22,84,Less than 100
2014-02-22,22,Feb,2014,29.0,Young Adults (25-34),M,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Blue",25,13,35,489,325,814,More or equal to 100
2014-04-27,27,April,2014,47.0,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Mountain Bottle Cage,26,4,10,99,104,203,Less than 100
2012-07-27,27,July,2012,1.0,Youth (<25),M,USA,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",2,420,769,667,840,1507,More or equal to 100
2014-07-17,17,July,2014,35.0,Adults (35-64),F,United Kingdom,England,Accessories,Fenders,Fender Set - Mountain,30,8,22,394,240,634,More or equal to 100
2015-11-28,28,Nov,2015,39.0,Adults (35-64),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,48,34,82,Less than 100
2014-04-30,30,April,2014,21.0,Youth (<25),F,UK,England,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,951,1252,2203,More or equal to 100
2014-06-23,23,June,2014,48.0,Adults (35-64),F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",25,42,54,17,1050,1067,Less than 100
2015-03-20,20,Mar,2015,51.0,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-650 Black, 44",1,487,783,194,487,681,More or equal to 100
2016-01-02,2,January,2016,46.0,Adults (35-64),M,United States,California,Clothing,Caps,AWC Logo Cap,23,7,9,42,161,203,Less than 100
2016-05-31,31,May,2016,28.0,Young Adults (25-34),F,France,Seine et Marne,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,1273,2532,3805,More or equal to 100
2013-11-08,8,Nov,2013,29.0,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,942,2171,3113,More or equal to 100
2013-09-29,29,September,2013,28.0,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,59,50,109,Less than 100
2016-01-06,6,January,2016,64.0,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",26,38,50,286,988,1274,More or equal to 100
2013-10-08,8,October,2013,31.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",23,13,35,401,299,700,More or equal to 100
2016-04-26,26,April,2016,40.0,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",13,38,50,143,494,637,More or equal to 100
2013-09-26,26,September,2013,37.0,Adults (35-64),F,United Kingdom,England,Clothing,Socks,"Racing Socks, L",28,3,9,158,84,242,More or equal to 100
2012-09-04,4,September,2012,25.0,Young Adults (25-34),F,France,Nord,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1489,2504,3993,More or equal to 100
2014-01-10,10,January,2014,20.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,-----,9,9,25,140,81,221,More or equal to 100
2014-03-15,15,Mar,2014,28.0,Young Adults (25-34),M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,19,4,10,110,76,186,More or equal to 100
2016-04-12,12,April,2016,34.0,Young Adults (25-34),M,Germany,Bayern,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",7,42,54,80,294,374,Less than 100
2014-05-08,8,May,2014,30.0,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,18,1,4,42,18,60,Less than 100
2015-09-12,12,September,2015,44.0,Adults (35-64),M,Australia,Victoria,Clothing,Shorts,"Women's Mountain Shorts, M",15,26,70,440,390,830,More or equal to 100
2014-06-25,25,June,2014,28.0,Young Adults (25-34),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Mountain Tire,30,9,25,323,270,593,More or equal to 100
2016-02-21,21,Feb,2016,30.0,Young Adults (25-34),F,France,Val d'Oise,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",9,42,54,6,378,384,Less than 100
2016-06-18,18,June,2016,60.0,Adults (35-64),F,USA,California,Accessories,Tires and Tubes,Road Tire Tube,7,1,4,20,7,27,Less than 100
2014-06-10,10,June,2014,36.0,Adults (35-64),F,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, M",3,9,24,33,27,60,Less than 100
2013-10-18,18,October,2013,32.0,Young Adults (25-34),M,Germany,Saarland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,38,36,74,Less than 100
2013-12-01,1,Dec,2013,45.0,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,LL Mountain Tire,4,9,25,43,36,79,Less than 100
2013-09-17,17,September,2013,22.0,Youth (<25),M,Germany,Saarland,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,4,4,8,Less than 100
2016-04-29,29,April,2016,21.0,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,4,2,5,12,8,20,Less than 100
2015-08-14,14,August,2015,45.0,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,17,30,47,Less than 100
2014-05-06,6,May,2014,37.0,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,308,565,234,308,542,More or equal to 100
2016-07-31,31,July,2016,23.0,Youth (<25),M,Germany,Saarland,Accessories,Tires and Tubes,Mountain Tire Tube,27,2,5,57,54,111,Less than 100
2015-09-12,12,September,2015,29.0,Young Adults (25-34),M,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",24,26,70,1039,624,1663,More or equal to 100
2016-03-10,10,Mar,2016,53.0,Adults (35-64),M,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",22,42,54,50,924,974,Less than 100
2015-08-12,12,August,2015,45.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,11,1,4,32,11,43,Less than 100
2016-05-19,19,May,2016,56.0,Adults (35-64),M,United Kingdom,England,Clothing,Gloves,-----,19,9,24,267,171,438,More or equal to 100
2016-05-23,23,May,2016,33.0,Young Adults (25-34),F,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,13,1,4,31,13,44,Less than 100
2014-02-24,24,Feb,2014,36.0,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,13,2,5,25,26,51,Less than 100
2014-06-14,14,June,2014,27.0,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443,Less than 100
2015-12-25,25,Dec,2015,31.0,Young Adults (25-34),M,Australia,Queensland,Clothing,Shorts,"Women's Mountain Shorts, S",15,26,70,492,390,882,More or equal to 100
2015-09-21,21,September,2015,30.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,1,2,5,3,2,5,Less than 100
2016-01-04,4,January,2016,40.0,Adults (35-64),F,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",15,9,24,221,135,356,More or equal to 100
2016-04-19,19,April,2016,1.0,Youth (<25),M,United States,California,Accessories,Tires and Tubes,-----,9,8,21,113,72,185,More or equal to 100
2014-01-26,26,January,2014,23.0,Youth (<25),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227,More or equal to 100
2014-06-20,20,June,2014,41.0,Adults (35-64),M,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Yellow, 50",1,1482,2384,592,1482,2074,More or equal to 100
2013-08-18,18,August,2013,59.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,20,21,41,Less than 100
2015-12-07,7,Dec,2015,47.0,Adults (35-64),M,USA,Washington,Accessories,Bottles and Cages,Mountain Bottle Cage,30,4,10,114,120,234,More or equal to 100
2015-12-29,29,Dec,2015,56.0,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,538,1252,1790,More or equal to 100
2014-03-18,18,Mar,2014,42.0,Adults (35-64),F,Germany,Saarland,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,6,9,15,Less than 100
2014-06-13,13,June,2014,20.0,Youth (<25),M,Canada,British Columbia,Clothing,Vests,"Classic Vest, M",14,24,64,551,336,887,More or equal to 100
2013-09-27,27,September,2013,36.0,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35,64,39,103,Less than 100
2015-08-08,8,August,2015,49.0,Adults (35-64),M,United States,Washington,Accessories,Hydration Packs,Hydration Pack - 70 oz.,11,21,55,241,231,472,More or equal to 100
2013-10-09,9,October,2013,55.0,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 52",1,1519,2443,826,1519,2345,More or equal to 100
2015-09-03,3,September,2015,32.0,Young Adults (25-34),M,USA,California,Accessories,Tires and Tubes,Road Tire Tube,2,1,4,6,2,8,Less than 100
2015-10-01,1,October,2015,30.0,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5,62,44,106,Less than 100
2015-12-27,27,Dec,2015,1.0,Youth (<25),M,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Red",30,13,35,471,390,861,More or equal to 100
2016-06-11,11,June,2016,27.0,Young Adults (25-34),F,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,7,3,9,41,21,62,Less than 100
2014-02-20,20,Feb,2014,60.0,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Road Tire Tube,13,1,4,32,13,45,Less than 100
2016-05-06,6,May,2016,39.0,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,6,11,17,Less than 100
2014-04-27,27,April,2014,31.0,Young Adults (25-34),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",10,13,35,143,130,273,More or equal to 100
2016-06-08,8,June,2016,40.0,Adults (35-64),M,Germany,Bayern,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,433,260,693,More or equal to 100
2016-03-10,10,Mar,2016,34.0,Young Adults (25-34),M,France,Nord,Accessories,Helmets,"Sport-100 Helmet, Blue",23,13,35,401,299,700,More or equal to 100
2016-06-07,7,June,2016,42.0,Adults (35-64),F,France,Nord,Accessories,Bottles and Cages,Road Bottle Cage,15,3,9,72,45,117,Less than 100
2016-07-19,19,July,2016,29.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,LL Mountain Tire,1,9,25,16,9,25,Less than 100
2013-10-11,11,October,2013,1.0,Youth (<25),F,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",16,42,54,36,672,708,Less than 100
2013-09-06,6,September,2013,44.0,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Mountain Tire Tube,7,2,5,20,14,34,Less than 100
2016-02-03,3,Feb,2016,50.0,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",17,42,54,195,714,909,More or equal to 100
2016-04-16,16,April,2016,44.0,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,64,44,108,Less than 100
2016-02-20,20,Feb,2016,37.0,Adults (35-64),M,Germany,Brandenburg,Bikes,Road Bikes,-----,1,1519,2443,900,1519,2419,More or equal to 100
2016-03-04,4,Mar,2016,47.0,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire,17,11,29,286,187,473,More or equal to 100
2014-02-02,2,Feb,2014,35.0,Adults (35-64),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,86,58,144,Less than 100
2014-01-28,28,January,2014,36.0,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,412,260,672,More or equal to 100
2015-12-23,23,Dec,2015,28.0,Young Adults (25-34),F,United Kingdom,England,Accessories,Bottles and Cages,-----,21,2,5,59,42,101,Less than 100
