Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
1/3/2016,1,March,2016,56,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Mountain Bottle Cage,19,4,10,72,76,148
11/3/2014,11,March,2014,37,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",17,38,50,196,646,842
26/6/2016,26,June,2016,45,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1371,2171,3542
28/3/2016,28,March,2016,42,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,8,2,5,15,16,31
12/2/2016,12,February,2016,22,Youth (<25),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",14,38,50,161,532,693
21/5/2014,21,May,2014,41,Adults (35-64),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Red",9,13,35,157,117,274
6/10/2013,6,October,2013,21,Youth (<25),M,United States,California,Clothing,Shorts,"Women's Mountain Shorts, S",1,26,70,43,26,69
16/3/2014,16,March,2014,47,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire,29,11,29,488,319,807
25/12/2013,25,December,2013,37,Adults (35-64),M,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",6,38,50,66,228,294
8/10/2015,8,October,2015,43,Adults (35-64),F,Germany,Hamburg,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",15,42,54,123,630,753
1/5/2011,1,May,2011,35,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",4,2171,3578,2479,8684,11163
19/5/2016,19,May,2016,25,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,2015,2532,4547
1/3/2014,1,March,2014,52,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,22,8,22,303,176,479
25/3/2016,25,March,2016,40,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,23,11,30,430,253,683
27/5/2014,27,May,2014,20,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,7,1,4,20,7,27
8/10/2015,8,October,2015,32,Young Adults (25-34),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,75,52,127
31/3/2011,31,March,2011,30,Young Adults (25-34),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",4,1912,3400,4048,7648,11696
24/6/2015,24,June,2015,38,Adults (35-64),F,France,Nord,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125
28/4/2014,28,April,2014,33,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2,1,2,3
25/10/2015,25,October,2015,22,Youth (<25),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,1,1,2
17/3/2016,17,March,2016,31,Young Adults (25-34),M,France,Somme,Clothing,Caps,AWC Logo Cap,19,7,9,7,133,140
28/11/2015,28,November,2015,34,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,6,1,4,17,6,23
20/8/2013,20,August,2013,35,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,426,260,686
4/6/2014,4,June,2014,28,Young Adults (25-34),F,United States,California,Clothing,Shorts,"Women's Mountain Shorts, S",2,26,70,85,52,137
13/6/2014,13,June,2014,20,Youth (<25),M,United States,Washington,Accessories,Tires and Tubes,Touring Tire Tube,10,2,5,19,20,39
11/3/2016,11,March,2016,41,Adults (35-64),F,United States,Washington,Accessories,Bottles and Cages,Mountain Bottle Cage,23,4,10,87,92,179
2/5/2016,2,May,2016,36,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,9,10,19
21/7/2016,21,July,2016,28,Young Adults (25-34),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,22,84,106
17/4/2014,17,April,2014,41,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8
29/12/2015,29,December,2015,39,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",9,13,35,192,117,309
15/2/2014,15,February,2014,36,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
3/6/2013,3,June,2013,42,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-650 Black, 62",1,487,783,265,487,752
1/9/2013,1,September,2013,44,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",7,13,35,120,91,211
17/8/2013,17,August,2013,22,Youth (<25),M,Australia,New South Wales,Accessories,Tires and Tubes,Touring Tire Tube,30,2,5,71,60,131
22/9/2015,22,September,2015,47,Adults (35-64),M,United Kingdom,England,Accessories,Bottles and Cages,Mountain Bottle Cage,2,4,10,11,8,19
17/6/2016,17,June,2016,45,Adults (35-64),F,Germany,Saarland,Accessories,Bottles and Cages,Road Bottle Cage,30,3,9,131,90,221
3/6/2016,3,June,2016,42,Adults (35-64),F,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Yellow, 60",3,1482,2384,2420,4446,6866
27/10/2013,27,October,2013,32,Young Adults (25-34),F,Germany,Bayern,Accessories,Tires and Tubes,Road Tire Tube,20,1,4,59,20,79
14/11/2015,14,November,2015,33,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,23,2,5,54,46,100
25/5/2016,25,May,2016,32,Young Adults (25-34),F,Australia,Queensland,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,521,1482,2003
28/6/2016,28,June,2016,19,Youth (<25),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",23,13,35,490,299,789
16/11/2013,16,November,2013,34,Young Adults (25-34),M,France,Nord,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,249,420,669
14/10/2013,14,October,2013,23,Youth (<25),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,19,16,35
24/7/2014,24,July,2014,33,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,9,9,18
3/7/2016,3,July,2016,37,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,4,13,35,87,52,139
17/7/2013,17,July,2013,38,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,249,420,669
30/4/2016,30,April,2016,44,Adults (35-64),F,France,Seine Saint Denis,Accessories,Tires and Tubes,Mountain Tire Tube,4,2,5,8,8,16
27/1/2014,27,January,2014,47,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,10,13,23
18/6/2014,18,June,2014,44,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,27,2,5,78,54,132
28/12/2015,28,December,2015,37,Adults (35-64),F,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
14/8/2015,14,August,2015,17,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-650 Red, 48",1,487,783,194,487,681
17/11/2013,17,November,2013,30,Young Adults (25-34),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",14,13,35,274,182,456
3/10/2015,3,October,2015,18,Youth (<25),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",27,13,35,575,351,926
26/5/2011,26,May,2011,40,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,656,2171,2827
9/3/2016,9,March,2016,30,Young Adults (25-34),M,Australia,Queensland,Clothing,Shorts,"Women's Mountain Shorts, L",13,26,70,426,338,764
10/1/2016,10,January,2016,63,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,32,2,5,61,64,125
13/5/2016,13,May,2016,18,Youth (<25),F,Germany,Hessen,Accessories,Fenders,Fender Set - Mountain,20,8,22,249,160,409
20/8/2015,20,August,2015,27,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,20,20,40
10/3/2016,10,March,2016,43,Adults (35-64),F,United States,California,Accessories,Hydration Packs,Hydration Pack - 70 oz.,30,21,55,987,630,1617
19/2/2016,19,February,2016,39,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",14,13,35,298,182,480
27/3/2014,27,March,2014,32,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,8,2,5,15,16,31
14/6/2014,14,June,2014,36,Adults (35-64),M,United States,Oregon,Bikes,Touring Bikes,"Touring-2000 Blue, 50",1,755,1215,290,755,1045
23/6/2016,23,June,2016,27,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,318,420,738
10/2/2016,10,February,2016,55,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",13,13,35,281,169,450
5/2/2016,5,February,2016,43,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1335,2171,3506
29/11/2013,29,November,2013,34,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,30,11,30,552,330,882
9/12/2015,9,December,2015,48,Adults (35-64),M,France,Hauts de Seine,Accessories,Tires and Tubes,Patch Kit/8 Patches,29,1,2,25,29,54
11/7/2015,11,July,2015,37,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,6,4,10
7/7/2011,7,July,2011,51,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,570,1555,2125
12/3/2016,12,March,2016,37,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120,261,713,974
1/5/2014,1,May,2014,18,Youth (<25),M,Australia,Queensland,Bikes,Touring Bikes,"Touring-3000 Yellow, 50",1,461,742,162,461,623
10/5/2014,10,May,2014,40,Adults (35-64),F,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,12,21,55,401,252,653
18/1/2014,18,January,2014,37,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,10,1,4,24,10,34
6/3/2014,6,March,2014,37,Adults (35-64),M,France,Nord,Accessories,Tires and Tubes,LL Road Tire,4,8,21,41,32,73
2/9/2013,2,September,2013,46,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506
12/8/2015,12,August,2015,21,Youth (<25),M,United States,Washington,Clothing,Socks,"Racing Socks, L",21,3,9,84,63,147
12/4/2016,12,April,2016,28,Young Adults (25-34),M,United States,Washington,Clothing,Socks,"Racing Socks, M",4,3,9,16,12,28
18/12/2013,18,December,2013,50,Adults (35-64),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",18,13,35,371,234,605
28/5/2014,28,May,2014,36,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,12,13,25
16/1/2014,16,January,2014,30,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,29,1,2,28,29,57
27/4/2016,27,April,2016,34,Young Adults (25-34),M,Germany,Saarland,Bikes,Road Bikes,"Road-650 Red, 48",1,487,783,155,487,642
1/8/2012,1,August,2012,27,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544
27/9/2013,27,September,2013,44,Adults (35-64),F,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Blue",4,13,35,63,52,115
25/2/2016,25,February,2016,25,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,250,713,963
20/2/2014,20,February,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,416,315,731
4/2/2013,4,February,2013,34,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,550,1083,1633
5/5/2016,5,May,2016,30,Young Adults (25-34),M,Germany,Saarland,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,630,1252,1882
2/3/2015,2,March,2015,45,Adults (35-64),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1031,1266,2297
11/9/2013,11,September,2013,37,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",12,38,50,18,456,474
13/10/2015,13,October,2015,23,Youth (<25),F,France,Nord,Accessories,Tires and Tubes,Touring Tire Tube,7,2,5,16,14,30
26/10/2013,26,October,2013,65,Seniors (64+),M,Canada,British Columbia,Accessories,Tires and Tubes,Touring Tire,20,11,29,354,220,574
26/8/2015,26,August,2015,41,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,16,22,38
19/9/2015,19,September,2015,47,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,334,420,754
26/2/2016,26,February,2016,38,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506
8/4/2014,8,April,2014,41,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,29,1,2,28,29,57
10/1/2016,10,January,2016,23,Youth (<25),F,France,Loiret,Accessories,Tires and Tubes,LL Road Tire,17,8,21,182,136,318
15/2/2016,15,February,2016,37,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
24/9/2013,24,September,2013,19,Youth (<25),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,28,2,5,78,56,134
19/11/2013,19,November,2013,38,Adults (35-64),F,United States,Washington,Accessories,Bottles and Cages,Mountain Bottle Cage,3,4,10,11,12,23
13/6/2014,13,June,2014,37,Adults (35-64),F,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,130,69,199
6/12/2013,6,December,2013,19,Youth (<25),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,70,48,118
27/2/2016,27,February,2016,32,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,45,38,83
28/12/2013,28,December,2013,38,Adults (35-64),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,28,20,48
1/7/2013,1,July,2013,36,Adults (35-64),F,United States,California,Bikes,Touring Bikes,"Touring-2000 Blue, 60",1,755,1215,436,755,1191
31/1/2016,31,January,2016,31,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,1,1,2
26/4/2013,26,April,2013,39,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,250,713,963
18/12/2015,18,December,2015,17,Youth (<25),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,31,2,5,87,62,149
30/4/2013,30,April,2013,43,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,312,1083,1395
24/8/2015,24,August,2015,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,12,2,5,35,24,59
13/10/2011,13,October,2011,31,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
3/9/2013,3,September,2013,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
10/5/2016,10,May,2016,46,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",2,420,769,667,840,1507
13/6/2014,13,June,2014,31,Young Adults (25-34),F,Germany,Saarland,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,17,26,43
1/3/2016,1,March,2016,53,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,11,1,4,23,11,34
22/7/2016,22,July,2016,36,Adults (35-64),F,United States,California,Accessories,Hydration Packs,Hydration Pack - 70 oz.,30,21,55,987,630,1617
25/3/2016,25,March,2016,39,Adults (35-64),M,United States,California,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",1,1482,2384,854,1482,2336
9/8/2015,9,August,2015,43,Adults (35-64),M,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,16,21,55,535,336,871
25/6/2014,25,June,2014,28,Young Adults (25-34),M,France,Seine (Paris),Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,205,713,918
24/11/2013,24,November,2013,23,Youth (<25),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,36,38,74
2/9/2015,2,September,2015,29,Young Adults (25-34),M,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",12,42,54,27,504,531
18/2/2016,18,February,2016,32,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,8,2,5,24,16,40
25/2/2015,25,February,2015,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
8/1/2016,8,January,2016,45,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,4,7,11
31/1/2016,31,January,2016,38,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,28,2,5,53,56,109
27/11/2015,27,November,2015,38,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",6,13,35,128,78,206
31/5/2014,31,May,2014,50,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,729,1266,1995
14/1/2016,14,January,2016,29,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Mountain Bottle Cage,4,4,10,17,16,33
16/8/2013,16,August,2013,19,Youth (<25),M,Canada,British Columbia,Clothing,Socks,"Women's Mountain Shorts, S",5,26,70,217,130,347
23/4/2014,23,April,2014,43,Adults (35-64),F,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,25,7,9,48,175,223
2/3/2016,2,March,2016,62,Adults (35-64),F,France,Yveline,Accessories,Helmets,"Sport-100 Helmet, Red",10,13,35,136,130,266
10/9/2015,10,September,2015,23,Youth (<25),M,Australia,New South Wales,Accessories,Tires and Tubes,HL Mountain Tire,20,13,35,349,260,609
8/10/2013,8,October,2013,42,Adults (35-64),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,14,9,23
7/3/2014,7,March,2014,34,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,835,2171,3006
15/10/2013,15,October,2013,36,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,584,1083,1667
21/4/2016,21,April,2016,59,Adults (35-64),F,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",26,26,70,1126,676,1802
25/7/2016,25,July,2016,49,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,9,2,5,26,18,44
2/9/2013,2,September,2013,46,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,15,10,25
19/3/2014,19,March,2014,32,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,21,2,5,59,42,101
16/3/2016,16,March,2016,38,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,8,8,16
30/4/2011,30,April,2011,44,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",4,2171,3578,5485,8684,14169
25/3/2011,25,March,2011,44,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443,570,1555,2125
2/6/2016,2,June,2016,28,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,14,11,30,262,154,416
6/4/2016,6,April,2016,43,Adults (35-64),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",3,13,35,44,39,83
1/12/2015,1,December,2015,28,Young Adults (25-34),M,Australia,Victoria,Clothing,Caps,AWC Logo Cap,14,7,9,2,98,100
20/4/2016,20,April,2016,65,Seniors (64+),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,1020,1252,2272
31/3/2014,31,March,2014,37,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,20,8,28
15/12/2011,15,December,2011,47,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-650 Black, 62",2,487,783,529,974,1503
6/6/2016,6,June,2016,41,Adults (35-64),M,Australia,South Australia,Accessories,Tires and Tubes,Mountain Tire Tube,7,2,5,15,14,29
5/9/2013,5,September,2013,29,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,52,44,96
12/9/2013,12,September,2013,43,Adults (35-64),F,Australia,Queensland,Accessories,Hydration Packs,Hydration Pack - 70 oz.,12,21,55,302,252,554
1/2/2014,1,February,2014,47,Adults (35-64),F,United States,Washington,Bikes,Touring Bikes,"Touring-1000 Yellow, 60",1,1482,2384,378,1482,1860
15/10/2015,15,October,2015,29,Young Adults (25-34),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,27,28,55
20/2/2016,20,February,2016,41,Adults (35-64),F,United States,Oregon,Clothing,Caps,AWC Logo Cap,23,7,9,17,161,178
9/3/2016,9,March,2016,36,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",14,42,54,153,588,741
29/11/2013,29,November,2013,33,Young Adults (25-34),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",5,38,50,55,190,245
1/1/2014,1,January,2014,28,Young Adults (25-34),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",3,38,50,33,114,147
17/12/2013,17,December,2013,21,Youth (<25),M,France,Yveline,Accessories,Tires and Tubes,Touring Tire,22,11,29,243,242,485
13/7/2014,13,July,2014,33,Young Adults (25-34),F,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,14,1,4,33,14,47
15/6/2014,15,June,2014,42,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,185,344,529
26/4/2016,26,April,2016,30,Young Adults (25-34),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",16,13,35,229,208,437
23/10/2013,23,October,2013,17,Youth (<25),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",29,13,35,506,377,883
23/5/2016,23,May,2016,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-3000 Yellow, 50",2,461,742,503,922,1425
8/2/2014,8,February,2014,54,Adults (35-64),M,France,Seine et Marne,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,19,30,49
30/8/2013,30,August,2013,42,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,LL Mountain Tire,1,9,25,11,9,20
7/4/2016,7,April,2016,28,Young Adults (25-34),M,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",2,38,50,20,76,96
11/11/2015,11,November,2015,24,Youth (<25),F,Germany,Saarland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",18,42,54,41,756,797
10/7/2016,10,July,2016,53,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",16,13,35,346,208,554
14/4/2016,14,April,2016,33,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2,2,2,4
28/4/2014,28,April,2014,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,15,10,25
18/9/2013,18,September,2013,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",1,13,35,21,13,34
20/12/2013,20,December,2013,36,Adults (35-64),M,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,236,195,431
10/8/2013,10,August,2013,40,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,25,25,50
16/8/2013,16,August,2013,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,56,38,94
23/11/2015,23,November,2015,36,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,25,3,9,146,75,221
16/3/2014,16,March,2014,29,Young Adults (25-34),M,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",16,38,50,160,608,768
8/7/2011,8,July,2011,38,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-250 Black, 44",2,1555,2443,701,3110,3811
14/4/2016,14,April,2016,19,Youth (<25),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",18,13,35,383,234,617
3/6/2016,3,June,2016,30,Young Adults (25-34),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",10,42,54,50,420,470
14/1/2016,14,January,2016,20,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,18,18,36
15/4/2016,15,April,2016,34,Young Adults (25-34),M,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,8,8,22,89,64,153
13/2/2014,13,February,2014,39,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",1,420,769,188,420,608
13/9/2015,13,September,2015,31,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,19,2,5,56,38,94
5/12/2015,5,December,2015,27,Young Adults (25-34),F,United States,California,Clothing,Caps,AWC Logo Cap,24,7,9,44,168,212
24/5/2014,24,May,2014,38,Adults (35-64),M,United States,Washington,Accessories,Fenders,Fender Set - Mountain,24,8,22,220,192,412
2/10/2015,2,October,2015,34,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506
24/8/2013,24,August,2013,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,9,9,18
2/1/2016,2,January,2016,53,Adults (35-64),M,Germany,Saarland,Clothing,Caps,AWC Logo Cap,23,7,9,9,161,170
23/1/2014,23,January,2014,50,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,5,8,21,42,40,82
12/9/2015,12,September,2015,58,Adults (35-64),F,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, S",16,9,24,186,144,330
